Match,Duo1_W/L,Duo1_Points,Duo1_Carry_KDA,Duo1_Carry_Pts,Duo1_Carry_Elo,Duo1_Noob_KDA,Duo1_Noob_Pts,Duo1_Noob_Elo,Duo2_W/L,Duo2_Points,Duo2_Carry_KDA,Duo2_Carry_Pts,Duo2_Carry_Elo,Duo2_Noob_KDA,Duo2_Noob_Pts,Duo2_Noob_Elo,Duo3_W/L,Duo3_Points,Duo3_Carry_KDA,Duo3_Carry_Pts,Duo3_Carry_Elo,Duo3_Noob_KDA,Duo3_Noob_Pts,Duo3_Noob_Elo
1,W,34,20/1/16,16,B4 26LP (x0.50),7/3/7,18,B4 29LP (x1.00),1,W,42,15/2/22,17,B4 27LP (x0.60),11/4/10,25,B4 30LP (x1.00),1,L,3,8/3/7,2,B4 0LP (x0.75),5/7/7,1,B4 0LP (x0.90)
2,W,54,20/1/18,11,B4 55LP (x0.50),8/4/10,9,B4 59LP (x1.00),2,L,24,8/3/10,-4,B4 9LP (x0.60),5/8/4,-14,B4 9LP (x1.00),2,W,49,12/2/17,17,B4 25LP (x0.75),13/3/14,29,B4 30LP (x0.90)
3,W,65,20/2/23,11,B4 84LP (x0.50),6/4/5,0,B4 86LP (x1.00),3,W,54,20/1/14,16,B4 39LP (x0.60),6/2/7,14,B4 38LP (x1.00),3,L,40,8/3/11,-4,B4 5LP (x0.75),7/6/8,-5,B4 8LP (x0.90)
4,W,177,20/1/17,42,B3 10LP (x0.60),6/2/13,70,B3 17LP (x1.00),4,W,74,18/2/16,7,B4 69LP (x0.60),10/2/14,13,B4 67LP (x1.00),4,L,43,9/3/6,1,B4 0LP (x0.75),7/6/8,2,B4 0LP (x0.90)
5,W,232,6/2/11,21,B3 37LP (x0.60),5/4/10,34,B3 46LP (x1.00),5,L,34,9/3/8,-15,B4 48LP (x0.60),5/6/8,-25,B4 49LP (x1.00),5,W,95,18/1/18,23,B4 29LP (x0.75),10/2/18,29,B4 30LP (x0.90)
6,W,230,20/1/21,11,B3 65LP (x0.60),2/4/2,-13,B3 74LP (x1.00),6,L,1,8/5/12,-11,B4 29LP (x0.60),4/6/4,-22,B4 31LP (x1.00),6,L,79,9/3/6,-7,B4 12LP (x0.75),5/7/8,-9,B4 11LP (x0.90)
7,L,192,9/3/8,-13,B3 47LP (x0.60),5/7/8,-25,B3 52LP (x1.00),7,W,22,20/2/22,13,B4 57LP (x0.60),6/3/13,8,B4 59LP (x1.00),7,L,77,7/3/10,-1,B4 0LP (x0.75),4/4/9,-1,B4 0LP (x0.90)
8,W,201,20/1/23,10,B3 72LP (x0.60),6/2/10,-1,B3 83LP (x1.00),8,L,-14,9/3/11,-11,B4 39LP (x0.60),3/6/6,-25,B4 39LP (x1.00),8,L,59,9/3/8,-8,B4 0LP (x0.75),6/7/9,-10,B4 0LP (x0.90)
9,W,312,15/1/23,42,B2 1LP (x0.60),4/2/13,69,B2 13LP (x1.00),9,W,6,20/2/17,9,B4 65LP (x0.60),8/2/16,11,B4 68LP (x1.00),9,L,56,9/3/8,-1,B4 0LP (x0.75),5/6/9,-2,B4 0LP (x0.90)
10,W,363,20/1/17,25,B2 32LP (x0.60),6/2/12,26,B2 44LP (x1.00),10,W,7,18/1/20,4,B4 92LP (x0.60),6/2/16,-3,B4 95LP (x1.00),10,L,15,4/6/6,-19,B4 0LP (x0.75),4/4/9,-22,B4 0LP (x0.90)
